int,hex,bin,,,,,,,,result
0,0x0,0,0,0,0,0,0,0,0,m
1,0x1,0,0,0,0,0,0,0,1,h
2,0x2,0,0,0,0,0,0,1,0,m
3,0x3,0,0,0,0,0,0,1,1,h
4,0x4,0,0,0,0,0,1,0,0,m
5,0x5,0,0,0,0,0,1,0,1,h
6,0x6,0,0,0,0,0,1,1,0,m
7,0x7,0,0,0,0,0,1,1,1,h
8,0x8,0,0,0,0,1,0,0,0,m
9,0x9,0,0,0,0,1,0,0,1,h
10,0xa,0,0,0,0,1,0,1,0,m
11,0xb,0,0,0,0,1,0,1,1,h
12,0xc,0,0,0,0,1,1,0,0,l
13,0xd,0,0,0,0,1,1,0,1,h
14,0xe,0,0,0,0,1,1,1,0,l
15,0xf,0,0,0,0,1,1,1,1,h
16,0x10,0,0,0,1,0,0,0,0,l
17,0x11,0,0,0,1,0,0,0,1,h
18,0x12,0,0,0,1,0,0,1,0,l
19,0x13,0,0,0,1,0,0,1,1,h
20,0x14,0,0,0,1,0,1,0,0,l
21,0x15,0,0,0,1,0,1,0,1,l
22,0x16,0,0,0,1,0,1,1,0,m
23,0x17,0,0,0,1,0,1,1,1,m
24,0x18,0,0,0,1,1,0,0,0,0
25,0x19,0,0,0,1,1,0,0,1,0
26,0x1a,0,0,0,1,1,0,1,0,0
27,0x1b,0,0,0,1,1,0,1,1,0
28,0x1c,0,0,0,1,1,1,0,0,0
29,0x1d,0,0,0,1,1,1,0,1,0
30,0x1e,0,0,0,1,1,1,1,0,0
31,0x1f,0,0,0,1,1,1,1,1,0
32,0x20,0,0,1,0,0,0,0,0,0
33,0x21,0,0,1,0,0,0,0,1,0
34,0x22,0,0,1,0,0,0,1,0,0
35,0x23,0,0,1,0,0,0,1,1,0
36,0x24,0,0,1,0,0,1,0,0,0
37,0x25,0,0,1,0,0,1,0,1,0
38,0x26,0,0,1,0,0,1,1,0,0
39,0x27,0,0,1,0,0,1,1,1,0
40,0x28,0,0,1,0,1,0,0,0,0
41,0x29,0,0,1,0,1,0,0,1,0
42,0x2a,0,0,1,0,1,0,1,0,0
43,0x2b,0,0,1,0,1,0,1,1,0
44,0x2c,0,0,1,0,1,1,0,0,0
45,0x2d,0,0,1,0,1,1,0,1,0
46,0x2e,0,0,1,0,1,1,1,0,0
47,0x2f,0,0,1,0,1,1,1,1,0
48,0x30,0,0,1,1,0,0,0,0,0
49,0x31,0,0,1,1,0,0,0,1,0
50,0x32,0,0,1,1,0,0,1,0,0
51,0x33,0,0,1,1,0,0,1,1,0
52,0x34,0,0,1,1,0,1,0,0,0
53,0x35,0,0,1,1,0,1,0,1,0
54,0x36,0,0,1,1,0,1,1,0,0
55,0x37,0,0,1,1,0,1,1,1,0
56,0x38,0,0,1,1,1,0,0,0,0
57,0x39,0,0,1,1,1,0,0,1,0
58,0x3a,0,0,1,1,1,0,1,0,0
59,0x3b,0,0,1,1,1,0,1,1,0
60,0x3c,0,0,1,1,1,1,0,0,0
61,0x3d,0,0,1,1,1,1,0,1,0
62,0x3e,0,0,1,1,1,1,1,0,0
63,0x3f,0,0,1,1,1,1,1,1,0
64,0x40,0,1,0,0,0,0,0,0,0
65,0x41,0,1,0,0,0,0,0,1,0
66,0x42,0,1,0,0,0,0,1,0,0
67,0x43,0,1,0,0,0,0,1,1,0
68,0x44,0,1,0,0,0,1,0,0,0
69,0x45,0,1,0,0,0,1,0,1,0
70,0x46,0,1,0,0,0,1,1,0,0
71,0x47,0,1,0,0,0,1,1,1,0
72,0x48,0,1,0,0,1,0,0,0,0
73,0x49,0,1,0,0,1,0,0,1,0
74,0x4a,0,1,0,0,1,0,1,0,0
75,0x4b,0,1,0,0,1,0,1,1,0
76,0x4c,0,1,0,0,1,1,0,0,0
77,0x4d,0,1,0,0,1,1,0,1,0
78,0x4e,0,1,0,0,1,1,1,0,0
79,0x4f,0,1,0,0,1,1,1,1,0
80,0x50,0,1,0,1,0,0,0,0,0
81,0x51,0,1,0,1,0,0,0,1,0
82,0x52,0,1,0,1,0,0,1,0,0
83,0x53,0,1,0,1,0,0,1,1,0
84,0x54,0,1,0,1,0,1,0,0,0
85,0x55,0,1,0,1,0,1,0,1,0
86,0x56,0,1,0,1,0,1,1,0,0
87,0x57,0,1,0,1,0,1,1,1,0
88,0x58,0,1,0,1,1,0,0,0,0
89,0x59,0,1,0,1,1,0,0,1,0
90,0x5a,0,1,0,1,1,0,1,0,0
91,0x5b,0,1,0,1,1,0,1,1,0
92,0x5c,0,1,0,1,1,1,0,0,0
93,0x5d,0,1,0,1,1,1,0,1,vl
94,0x5e,0,1,0,1,1,1,1,0,0
95,0x5f,0,1,0,1,1,1,1,1,0
96,0x60,0,1,1,0,0,0,0,0,m
97,0x61,0,1,1,0,0,0,0,1,0
98,0x62,0,1,1,0,0,0,1,0,m
99,0x63,0,1,1,0,0,0,1,1,m
100,0x64,0,1,1,0,0,1,0,0,h
101,0x65,0,1,1,0,0,1,0,1,l
102,0x66,0,1,1,0,0,1,1,0,h
103,0x67,0,1,1,0,0,1,1,1,0
104,0x68,0,1,1,0,1,0,0,0,0
105,0x69,0,1,1,0,1,0,0,1,0
106,0x6a,0,1,1,0,1,0,1,0,vl
107,0x6b,0,1,1,0,1,0,1,1,0
108,0x6c,0,1,1,0,1,1,0,0,h
109,0x6d,0,1,1,0,1,1,0,1,0
110,0x6e,0,1,1,0,1,1,1,0,vl
111,0x6f,0,1,1,0,1,1,1,1,0
112,0x70,0,1,1,1,0,0,0,0,l
113,0x71,0,1,1,1,0,0,0,1,h
114,0x72,0,1,1,1,0,0,1,0,l
115,0x73,0,1,1,1,0,0,1,1,0
116,0x74,0,1,1,1,0,1,0,0,h
117,0x75,0,1,1,1,0,1,0,1,h
118,0x76,0,1,1,1,0,1,1,0,vl
119,0x77,0,1,1,1,0,1,1,1,vl
120,0x78,0,1,1,1,1,0,0,0,0
121,0x79,0,1,1,1,1,0,0,1,0
122,0x7a,0,1,1,1,1,0,1,0,0
123,0x7b,0,1,1,1,1,0,1,1,0
124,0x7c,0,1,1,1,1,1,0,0,0
125,0x7d,0,1,1,1,1,1,0,1,0
126,0x7e,0,1,1,1,1,1,1,0,0
127,0x7f,0,1,1,1,1,1,1,1,0
128,0x80,1,0,0,0,0,0,0,0,0
129,0x81,1,0,0,0,0,0,0,1,0
130,0x82,1,0,0,0,0,0,1,0,0
131,0x83,1,0,0,0,0,0,1,1,0
132,0x84,1,0,0,0,0,1,0,0,0
133,0x85,1,0,0,0,0,1,0,1,0
134,0x86,1,0,0,0,0,1,1,0,0
135,0x87,1,0,0,0,0,1,1,1,0
136,0x88,1,0,0,0,1,0,0,0,0
137,0x89,1,0,0,0,1,0,0,1,0
138,0x8a,1,0,0,0,1,0,1,0,l
139,0x8b,1,0,0,0,1,0,1,1,m
140,0x8c,1,0,0,0,1,1,0,0,h
141,0x8d,1,0,0,0,1,1,0,1,h
142,0x8e,1,0,0,0,1,1,1,0,h
143,0x8f,1,0,0,0,1,1,1,1,h
144,0x90,1,0,0,1,0,0,0,0,h
145,0x91,1,0,0,1,0,0,0,1,h
146,0x92,1,0,0,1,0,0,1,0,h
147,0x93,1,0,0,1,0,0,1,1,h
148,0x94,1,0,0,1,0,1,0,0,h
149,0x95,1,0,0,1,0,1,0,1,h
150,0x96,1,0,0,1,0,1,1,0,h
151,0x97,1,0,0,1,0,1,1,1,h
152,0x98,1,0,0,1,1,0,0,0,l
153,0x99,1,0,0,1,1,0,0,1,m
154,0x9a,1,0,0,1,1,0,1,0,m
155,0x9b,1,0,0,1,1,0,1,1,m
156,0x9c,1,0,0,1,1,1,0,0,l
157,0x9d,1,0,0,1,1,1,0,1,h
158,0x9e,1,0,0,1,1,1,1,0,l
159,0x9f,1,0,0,1,1,1,1,1,h
160,0xa0,1,0,1,0,0,0,0,0,h
161,0xa1,1,0,1,0,0,0,0,1,h
162,0xa2,1,0,1,0,0,0,1,0,h
163,0xa3,1,0,1,0,0,0,1,1,h
164,0xa4,1,0,1,0,0,1,0,0,l
165,0xa5,1,0,1,0,0,1,0,1,h
166,0xa6,1,0,1,0,0,1,1,0,0
167,0xa7,1,0,1,0,0,1,1,1,0
168,0xa8,1,0,1,0,1,0,0,0,0
169,0xa9,1,0,1,0,1,0,0,1,0
170,0xaa,1,0,1,0,1,0,1,0,0
171,0xab,1,0,1,0,1,0,1,1,0
172,0xac,1,0,1,0,1,1,0,0,0
173,0xad,1,0,1,0,1,1,0,1,0
174,0xae,1,0,1,0,1,1,1,0,0
175,0xaf,1,0,1,0,1,1,1,1,0
176,0xb0,1,0,1,1,0,0,0,0,0
177,0xb1,1,0,1,1,0,0,0,1,0
178,0xb2,1,0,1,1,0,0,1,0,0
179,0xb3,1,0,1,1,0,0,1,1,0
180,0xb4,1,0,1,1,0,1,0,0,0
181,0xb5,1,0,1,1,0,1,0,1,0
182,0xb6,1,0,1,1,0,1,1,0,0
183,0xb7,1,0,1,1,0,1,1,1,0
184,0xb8,1,0,1,1,1,0,0,0,0
185,0xb9,1,0,1,1,1,0,0,1,0
186,0xba,1,0,1,1,1,0,1,0,0
187,0xbb,1,0,1,1,1,0,1,1,0
188,0xbc,1,0,1,1,1,1,0,0,0
189,0xbd,1,0,1,1,1,1,0,1,0
190,0xbe,1,0,1,1,1,1,1,0,0
191,0xbf,1,0,1,1,1,1,1,1,0
192,0xc0,1,1,0,0,0,0,0,0,0
193,0xc1,1,1,0,0,0,0,0,1,0
194,0xc2,1,1,0,0,0,0,1,0,0
195,0xc3,1,1,0,0,0,0,1,1,0
196,0xc4,1,1,0,0,0,1,0,0,0
197,0xc5,1,1,0,0,0,1,0,1,0
198,0xc6,1,1,0,0,0,1,1,0,0
199,0xc7,1,1,0,0,0,1,1,1,0
200,0xc8,1,1,0,0,1,0,0,0,0
201,0xc9,1,1,0,0,1,0,0,1,0
202,0xca,1,1,0,0,1,0,1,0,0
203,0xcb,1,1,0,0,1,0,1,1,0
204,0xcc,1,1,0,0,1,1,0,0,0
205,0xcd,1,1,0,0,1,1,0,1,0
206,0xce,1,1,0,0,1,1,1,0,0
207,0xcf,1,1,0,0,1,1,1,1,0
208,0xd0,1,1,0,1,0,0,0,0,0
209,0xd1,1,1,0,1,0,0,0,1,0
210,0xd2,1,1,0,1,0,0,1,0,0
211,0xd3,1,1,0,1,0,0,1,1,0
212,0xd4,1,1,0,1,0,1,0,0,0
213,0xd5,1,1,0,1,0,1,0,1,0
214,0xd6,1,1,0,1,0,1,1,0,0
215,0xd7,1,1,0,1,0,1,1,1,0
216,0xd8,1,1,0,1,1,0,0,0,0
217,0xd9,1,1,0,1,1,0,0,1,0
218,0xda,1,1,0,1,1,0,1,0,0
219,0xdb,1,1,0,1,1,0,1,1,0
220,0xdc,1,1,0,1,1,1,0,0,0
221,0xdd,1,1,0,1,1,1,0,1,0
222,0xde,1,1,0,1,1,1,1,0,0
223,0xdf,1,1,0,1,1,1,1,1,0
224,0xe0,1,1,1,0,0,0,0,0,0
225,0xe1,1,1,1,0,0,0,0,1,0
226,0xe2,1,1,1,0,0,0,1,0,0
227,0xe3,1,1,1,0,0,0,1,1,0
228,0xe4,1,1,1,0,0,1,0,0,0
229,0xe5,1,1,1,0,0,1,0,1,0
230,0xe6,1,1,1,0,0,1,1,0,0
231,0xe7,1,1,1,0,0,1,1,1,0
232,0xe8,1,1,1,0,1,0,0,0,0
233,0xe9,1,1,1,0,1,0,0,1,0
234,0xea,1,1,1,0,1,0,1,0,0
235,0xeb,1,1,1,0,1,0,1,1,0
236,0xec,1,1,1,0,1,1,0,0,0
237,0xed,1,1,1,0,1,1,0,1,0
238,0xee,1,1,1,0,1,1,1,0,0
239,0xef,1,1,1,0,1,1,1,1,0
240,0xf0,1,1,1,1,0,0,0,0,0
241,0xf1,1,1,1,1,0,0,0,1,0
242,0xf2,1,1,1,1,0,0,1,0,0
243,0xf3,1,1,1,1,0,0,1,1,0
244,0xf4,1,1,1,1,0,1,0,0,0
245,0xf5,1,1,1,1,0,1,0,1,0
246,0xf6,1,1,1,1,0,1,1,0,0
247,0xf7,1,1,1,1,0,1,1,1,0
248,0xf8,1,1,1,1,1,0,0,0,0
249,0xf9,1,1,1,1,1,0,0,1,0
250,0xfa,1,1,1,1,1,0,1,0,0
251,0xfb,1,1,1,1,1,0,1,1,0
252,0xfc,1,1,1,1,1,1,0,0,0
253,0xfd,1,1,1,1,1,1,0,1,h
254,0xfe,1,1,1,1,1,1,1,0,h
255,0xff,1,1,1,1,1,1,1,1,m
